,timestamp,asset,volumeUSD,datetime
307,1671667200000,xrp,255631618.53353843,2022-12-22 08:00:00
296,1671667200000,bnb,158362525.39989725,2022-12-22 08:00:00
304,1671667200000,sol,95599080.73030746,2022-12-22 08:00:00
301,1671667200000,ltc,94413591.27955927,2022-12-22 08:00:00
302,1671667200000,matic,92955805.42158967,2022-12-22 08:00:00
294,1671667200000,ada,66764177.9691535,2022-12-22 08:00:00
303,1671667200000,shib,41453869.04585829,2022-12-22 08:00:00
305,1671667200000,trx,37713978.97506965,2022-12-22 08:00:00
299,1671667200000,dot,37039371.99458672,2022-12-22 08:00:00
295,1671667200000,avax,26535266.13600535,2022-12-22 08:00:00
306,1671667200000,uni,15307625.797210122,2022-12-22 08:00:00
283,1671580800000,btc,5018929235.492844,2022-12-21 08:00:00
286,1671580800000,eth,1220970363.2534769,2022-12-21 08:00:00
293,1671580800000,xrp,287540276.1049682,2022-12-21 08:00:00
284,1671580800000,doge,170114492.00730002,2022-12-21 08:00:00
282,1671580800000,bnb,125344758.12746964,2022-12-21 08:00:00
287,1671580800000,ltc,103253606.82826471,2022-12-21 08:00:00
280,1671580800000,ada,84109838.08086862,2022-12-21 08:00:00
288,1671580800000,matic,76822517.8074119,2022-12-21 08:00:00
290,1671580800000,sol,74896000.79424292,2022-12-21 08:00:00
289,1671580800000,shib,38988720.307992384,2022-12-21 08:00:00
285,1671580800000,dot,31956413.62743953,2022-12-21 08:00:00
291,1671580800000,trx,30476127.44755663,2022-12-21 08:00:00
281,1671580800000,avax,23007716.79072974,2022-12-21 08:00:00
292,1671580800000,uni,13460953.97852064,2022-12-21 08:00:00
269,1671494400000,btc,8583617578.2800665,2022-12-20 08:00:00
272,1671494400000,eth,2245061701.73378,2022-12-20 08:00:00
279,1671494400000,xrp,363028928.2173418,2022-12-20 08:00:00
268,1671494400000,bnb,209348850.44803062,2022-12-20 08:00:00
270,1671494400000,doge,203100676.76664457,2022-12-20 08:00:00
273,1671494400000,ltc,157139509.7772022,2022-12-20 08:00:00
274,1671494400000,matic,144883703.36828172,2022-12-20 08:00:00
276,1671494400000,sol,88079808.6069275,2022-12-20 08:00:00
266,1671494400000,ada,70975233.47165833,2022-12-20 08:00:00
275,1671494400000,shib,53139373.03977942,2022-12-20 08:00:00
277,1671494400000,trx,46655157.82127259,2022-12-20 08:00:00
267,1671494400000,avax,44274265.3748194,2022-12-20 08:00:00
271,1671494400000,dot,35156931.38026583,2022-12-20 08:00:00
278,1671494400000,uni,16760741.622231187,2022-12-20 08:00:00
255,1671408000000,btc,6292133251.637387,2022-12-19 08:00:00
258,1671408000000,eth,1754119315.0013351,2022-12-19 08:00:00
265,1671408000000,xrp,422269711.5970426,2022-12-19 08:00:00
256,1671408000000,doge,282569166.4917568,2022-12-19 08:00:00
254,1671408000000,bnb,244580737.1410793,2022-12-19 08:00:00
259,1671408000000,ltc,148997933.1734362,2022-12-19 08:00:00
260,1671408000000,matic,148252980.3532781,2022-12-19 08:00:00
261,1671408000000,shib,116624795.88818055,2022-12-19 08:00:00
262,1671408000000,sol,105344401.47120923,2022-12-19 08:00:00
252,1671408000000,ada,95936886.81153843,2022-12-19 08:00:00
263,1671408000000,trx,51096382.98424303,2022-12-19 08:00:00
257,1671408000000,dot,47835556.381423175,2022-12-19 08:00:00
253,1671408000000,avax,47349777.66986387,2022-12-19 08:00:00
264,1671408000000,uni,18307827.95658701,2022-12-19 08:00:00
241,1671321600000,btc,3597062674.8932047,2022-12-18 08:00:00
244,1671321600000,eth,1144980349.7163289,2022-12-18 08:00:00
